t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.074,0.0736657,0.989587,0.0139734,0.000163823,0.00223227,-0.0338466,-0.00153232,0.0178404,0.19324,0,0.0591024,-0.346556,-0.00709396,-0.000257793,35.3802,35.3802,35,35.3802,35.3802,35,35.3683,35.3683,35,35.3802,35.3802,35,0.0758423,-0.0219691,0.357621,0.0618689,-0.0221329,0.355389,0.9604,0.9604,0.9604,0.9604
0.076,0.0756442,0.989255,0.0142632,0.000169668,0.00234892,-0.0348369,-0.00154374,0.0178401,0.144902,0.00292253,0.0583273,-0.332028,-0.0252795,0.0845326,35.392,35.392,35,35.392,35.392,35,35.3802,35.3802,35,35.392,35.392,35,0.0757468,-0.0219632,0.357616,0.0614835,-0.0221329,0.355268,0.9604,0.9604,0.9604,0.9604
0.078,0.077622,0.988923,0.0145462,0.000174811,0.00246803,-0.035786,-0.00161159,0.0180812,0.141474,0.0025719,0.059557,-0.335754,-0.0268415,0.0771769,35.4039,35.4039,35,35.4039,35.4039,35,35.392,35.392,35,35.4039,35.4039,35,0.0756455,-0.0219581,0.357611,0.0610993,-0.0221329,0.355143,0.9604,0.9604,0.9604,0.9604
0.08,0.0795992,0.988591,0.0148222,0.000179246,0.0025896,-0.0367458,-0.00168344,0.0183011,0.138037,0.00221725,0.0607818,-0.338187,-0.0283247,0.0702301,35.4158,35.4158,35,35.4158,35.4158,35,35.4039,35.4039,35,35.4158,35.4158,35,0.0755323,-0.0219534,0.357605,0.0607162,-0.0221329,0.355016,0.9604,0.9604,0.9604,0.9604
0.082,0.0815757,0.988259,0.0151981,0.000179471,0.00271971,-0.0377126,-0.00175911,0.0185012,0.187912,0.000112757,0.0650546,-0.345279,-0.00851452,0.00340196,35.4277,35.4277,35,35.4277,35.4277,35,35.4158,35.4158,35,35.4277,35.4277,35,0.0755323,-0.0219534,0.357605,0.0603342,-0.0221329,0.354885,0.9604,0.9604,0.9604,0.9604
0.084,0.0835516,0.987928,0.0154577,0.000183161,0.00284603,-0.0386993,-0.00177449,0.0185114,0.129831,0.00184483,0.0631589,-0.333183,-0.029966,0.0659915,35.4396,35.4396,35,35.4396,35.4396,35,35.4277,35.4277,35,35.4396,35.4396,35,0.0754112,-0.0219497,0.357598,0.0599535,-0.0221329,0.354752,0.9604,0.9604,0.9604,0.9604
0.086,0.0855268,0.987597,0.0157142,0.000185517,0.0029746,-0.0396519,-0.00185484,0.0186992,0.128247,0.00117795,0.0642868,-0.329614,-0.0293792,0.0550532,35.4514,35.4514,35,35.4514,35.4514,35,35.4396,35.4396,35,35.4514,35.4514,35,0.0752882,-0.0219474,0.35759,0.0595739,-0.0221329,0.354615,0.9604,0.9604,0.9604,0.9604
0.088,0.0875013,0.987266,0.0160925,0.000185517,0.00311412,-0.0405943,-0.00193301,0.0188557,0.189149,0,0.0697592,-0.345085,-0.00741722,-0.000360972,35.4633,35.4633,35,35.4633,35.4633,35,35.4514,35.4514,35,35.4633,35.4633,35,0.0752882,-0.0219474,0.35759,0.0591956,-0.0221329,0.354476,0.9604,0.9604,0.9604,0.9604
0.09,0.0894752,0.986935,0.0163385,0.000186697,0.00324752,-0.0415804,-0.00194489,0.0188553,0.122965,0.000590054,0.0667015,-0.32665,-0.0310095,0.0481115,35.4752,35.4752,35,35.4752,35.4752,35,35.4633,35.4633,35,35.4752,35.4752,35,0.075157,-0.0219462,0.357581,0.0588186,-0.0221329,0.354333,0.9604,0.9604,0.9604,0.9604
0.092,0.0914484,0.986605,0.0165269,0.000186372,0.003379,-0.0425144,-0.00202747,0.0189919,0.0942173,-0.000162632,0.0657389,-0.31956,-0.0421275,0.0539971,35.4871,35.4871,35,35.4871,35.4871,35,35.4752,35.4752,35,35.4871,35.4871,35,0.0749697,-0.0219465,0.357567,0.0584428,-0.0221329,0.354188,0.9604,0.9604,0.9604,0.9604
0.094,0.0934209,0.986274,0.0169013,0.000186372,0.00352747,-0.0434284,-0.00214236,0.0191446,0.187219,0,0.0742374,-0.344424,-0.00750428,-0.000418447,35.499,35.499,35,35.499,35.499,35,35.4871,35.4871,35,35.499,35.499,35,0.0749697,-0.0219465,0.357567,0.0580684,-0.0221329,0.354039,0.9604,0.9604,0.9604,0.9604
0.096,0.0953928,0.985944,0.0171246,0.000184666,0.00366709,-0.0444126,-0.00215436,0.0191441,0.111632,-0.000852933,0.0698065,-0.325568,-0.0357962,0.0330588,35.5108,35.5108,35,35.5108,35.5108,35,35.499,35.499,35,35.5108,35.5108,35,0.0748199,-0.0219482,0.357555,0.0576953,-0.0221329,0.353888,0.9604,0.9604,0.9604,0.9604
0.098,0.0973641,0.985615,0.0173295,0.00018151,0.00380778,-0.0453437,-0.00224977,0.0192374,0.102447,-0.00157784,0.0703493,-0.323804,-0.0395576,0.0283608,35.5227,35.5227,35,35.5227,35.5227,35,35.5108,35.5108,35,35.5227,35.5227,35,0.074653,-0.0219514,0.357541,0.0573236,-0.0221329,0.353734,0.9604,0.9604,0.9604,0.9604
0.1,0.0993346,0.985285,0.0176999,0.00018151,0.0039651,-0.0462698,-0.00235567,0.019317,0.185185,0,0.0786588,-0.343745,-0.00755069,-0.000477646,35.5346,35.5346,35,35.5346,35.5346,35,35.5227,35.5227,35,35.5346,35.5346,35,0.074653,-0.0219514,0.357541,0.0569532,-0.0221329,0.353576,0.9604,0.9604,0.9604,0.9604
